ben	bdef
Seleucus III Soter	[ruler of the Hellenistic Seleucid Empire, who reigned briefly 225-223 BC before being assassinated (c. 243-223 BC)] <p-l>ស្ដេចសេលូគីសទី៣ សូធើរ។</p-l>
Seleucus IV Philopator	(ruler of the Hellenistic Seleucid Empire 187-175 BC, who in an effort to pay the Romans war-indemnity, sent a minister to Jerusalem to seize the Temple treasury) <p-l>ស្ដេចសេលូគីសទី៤ ហ្វីឡូប៉ាទើរ។</p-l>
self	(the distinct individuality or identity of a person) <p-l>អាត្មា</p-l>
self-control	(n) (the ability to exercise restraint over one's feelings, emotions, reactions, etc.) <p-l>សេចក្តីដឹងខ្នាត ការគ្រប់គ្រងខ្លួនឯង [(គ.បៈ សេចក្តីដឹងខ្នាត អត់ទ្រាំ ដឹងខ្លួន ដឹងខ្នាត ចេះទប់ ចិត្ត មានចិត្តធ្ងន់ធ្ងរ សេចក្តីធ្ងន់ធ្ងរ) (គ.ខ.បៈ : ការទប់ចិត្តនឹងតណ្ហា ទ្រាំបាន ភ្ញាក់ខ្លួន មានចិត្តធ្ងន់ ចេះទប់ចិត្ត ការចេះទប់ចិត្ត ទប់ចិត្ត)]។</p-l>
self-examination	(scrutiny of one's own conduct, motives, desires, etc.) <p-l>ការពិចារណាមើលខ្លួនឯង។</p-l>
selfhood	(the state of having a distinct identity) <p-l>ភាពជាទ្រង់ទ្រាយរបស់ខ្លួនឯង</p-l>
selfish	(adj) (chiefly concerned with one's own interest, advantage, etc.) <p-l>អាត្មានិយម</p-l>
self-revelation	(God's self-revelation to man) <p-l>ការបើកសម្តែងរបស់ព្រះដោយអង្គទ្រង់ផ្ទាល់</p-l>
self-righteous	(adj) (having or showing an exaggerated awareness of one's own virtuousness) <p-l>ដែលសុចរិតផ្ទាល់ខ្លួន។</p-l>
Sem.	(abbreviation “Semitic”) <p-l>នៃពួកសាសន៍សេមីត</p-l>
semantic	(adj) (of or relating to meaning or arising from distinctions between the meanings of different words) <p-l>នៃនិហ្គាសាស្ត្រ</p-l> (informal) <p-l>ដែលទាក់ទងនឹងន័យរបស់ភាសា។</p-l>
semen	(fluid containing spermatozoa) <p-l>ទឹកកាម [(គ.បៈ : ជីវិត ទឹកកាម) គ.ខ.បៈ : ទឹកកាម]</p-l>
seminal	(adj) (highly original, influential and important) <p-l>ដែលបង្កើតគំនិតសំខាន់មួយ</p-l>
semi-Pelagianism	(theology: a compromise between Pelagianism and the teaching of the Church Fathers on the understanding of salvation) <p-l>អញ្ញមតិពាក់កណ្តាលកីឡាហៀស និយម។</p-l>
Semites	(descendants of Shem, including those people who speak the Semitic languages: Jews, Arabs, Babylonians, Syrians & Phoenicians) <p-l>ពួកសាសន៍សេមីត។</p-l>
Semitic	(adj) (belonging to the group of languages including Hebrew, Arabic & Aramaic) <p-l>នៃពួកសាសន៍សេមីត។</p-l>
Semitism	(palaeolinguistics: grammar or syntax in a language revealing the influence of a Semitic language) <p-l>ឥទ្ធិពលនៃភាសាសេមីត។</p-l>
Semler, Johann Salomo	[a German a critic of biblical and ecclesiastical documents and of the history of dogmas, and sometimes called "the father of German rationalism" (1725-1791)] <p-l>បណ្ឌិតស៊ែមលើរ។</p-l>
send	(vb) (to cause or order someone to be taken or directed to another place) <p-l>បញ្ជូន</p-l> (div) <p-l>ចាត់។</p-l>
Sennacherib	(King of Assyria 705-631 BC, son of Sargon II, and conqueror of Babylon) <p-l>ស្តេចសានហេរីប។</p-l>
sentence	(judgment formally pronounced upon a person convicted in criminal proceedings) <p-l>ការកាត់សេចក្តី។</p-l>
Sephar	(a place in Gen. 10:30) <p-l>សេផា</p-l>
Septuagint	(the Greek version of the OT including the Apocrypha) <p-l>ព្រះគម្ពីរសិបធូជីន</p-l> (short) <p-l>សិបធូជីន។</p-l>
Serabit el-Khadim	(a locality in the south-west Sinai Peninsula where the Ancient Egyptians mined turquoise extensively) <p-l>តំបន់សេរ៉ាប៊ីត អ៊ែល-ខាឌីម។</p-l>
sermon	(an address of exhortation, generally based on a Bible passage) <p-l>សេចក្តីអធិប្បាយ</p-l> "Sermon on the Mount" (Jesus' teaching in Matt. chapters 5-7) <p-l>សេចក្តីអធិប្បាយលើភ្នំ</p-l> "Sermon on the Plain" (Jesus' teaching in Lk. 6:20-49) <p-l>សេចក្តីអធិប្បាយនៅកន្លែងរៀបស្មើ</p-l>
serpent	(a snake, or a manifestation of Satan as a guileful tempter) <p-l>សត្វពស់</p-l>
Serug	(son of Reu, son of Peleg) <p-l>សេរូក</p-l>
servant	(person employed to work for another) <p-l>អ្នកបម្រើ (គ.ប : ទាសាទាសី+បាវព្រាវ គ.ខ.ប : អ្នក បំរើ)។</p-l>
Servant, the...	(an individual featuring in the Book of Isaiah, chosen by God, who is identified as a future Messianic figure) <p-l>អ្នកបម្រើ។</p-l>
Servant, the...	(title used to refer to Jesus) <p-l>អង្គបម្រើ</p-l> "Servant of the Lord” <p-l>អ្នកបម្រើព្រះអម្ចាស់</p-l> (div) <p-l>អង្គបម្រើព្រះអម្ចាស់</p-l>
Servant Songs, the...	(the songs in the Book of Isaiah about someone identified as a future Messianic figure) <p-l>បទចម្រៀងទាំងឡាយរបស់អ្នកបម្រើ។</p-l>
servanthood	(the state of being a servant) <p-l>ភាពជាអ្នកបម្រើ</p-l>
serve	(vb) (to pay homege) <p-l>ចុះចូល</p-l>
serve	(vb) (to help) <p-l>បម្រើ</p-l>
service	(...of worship/church...) <p-l>កម្មវិធីថ្វាយបង្គំ</p-l> (short) <p-l>កម្មវិធី</p-l>
service	(the state, position or duties of a servant) <p-l>ការបម្រើ</p-l> "Session of Christ" (doctrine that Jesus is seated at the right hand of the Father in Heaven) <p-l>គោលលទ្ធិ ព្រះយេស៊ូវនៅព្រះហស្តស្តាំនៃព្រះវរបិតា ។</p-l>
Setnakht	[the first pharaoh of the 20th Dynasty of Egypt, who ruled 1189-1186 BC] <p-l>ជាប៉ានសេតណាក់។</p-l>
Seth	(the third son of Adam and Eve) <p-l>សេត</p-l>
Sethos I	(a pharaoh of the 19th Dynasty of Egypt, who ruled c. 1290-1279 BC) <p-l>ផារ៉ាន សេថូសទី១។</p-l>
Seti I	[a pharaoh of the New Kingdom 19th Dynasty of Egypt, the son of Rameses I and Queen Sitre, and father of Ramesses II (reign c. 1290-1279 BC)] <p-l>ផារ៉ានសេទី ទី១។</p-l>
setting	(the surroundings in which something is placed) <p-l>ស្ថានភាព</p-l>
Settlement, the...	(reference to the period of Israel's settling into the Land which began under Joshua) <p-l>សម័យការតាំងទីលំនៅ។</p-l>
Seven, the...	(reference to the seven men chosen to "serve tables" in Acts 6:3) <p-l>ពួក៧នាក់</p-l>
Seven Words, the...	(... of Jesus on the Cross) <p-l>«ព្រះបន្ទូលប្រាំពីរប្រការ»</p-l>
Sextus, Sentences of...	(a Hellenistic Pythagorian text mentioned by Origen and partially recovered at Hag Nammadi) <p-l>«ប្រយោគទាំងឡាយនៃសិចទុស»។</p-l>
sexual immorality	(the state of transgressing accepted standards of behaviour concerning sexuality and sexual relationships) <p-l>ភាពអសីលធម៌ផ្លូវភេទ [(គ.ប : សេចក្តីកំជិត សហាយ ស្មន់) គ.ខ.ប : ប្រាសចាកសីលធម៌]។</p-l>
Shabako Shabaka	(a Kushite pharaoh of the 25th Dynasty of Egypt, who ruled c. 721-707 BC) <p-l>ជាប៉ាន សាបាកូ។</p-l>
Shabbath. Tractate...	(the first tractate in the Mishnaic section of the Mishnah and Talmud, dealing with the laws related to the Jewish Sabbath) <p-l>រឿងខ្លីៗ សប្បីទ ។</p-l>
shade	(a ghost) <p-l>ខ្មោច</p-l>
Shallum, King...	(15 king of Israel) <p-l>ស្ដេចសាលូម</p-l>
Shalmaneser I	(a king of Assyria who ruled c. 1265-1235 BC, who according to his anals conquered eight countries in the northwest) <p-l>ស្ដេចសាលម៉ានេស៊ីរទី១។</p-l>
Shalmaneser III	(a king of Assyria 859-824 BC, who persevered to subjugate Israel) <p-l>ស្ដេចសាលម៉ានេស៊ីរទី៣។</p-l>
Shalmaneser V	(a king of Assyria who ruled from 727-722 BC, who conquered Samaria and sent its inhabitants into exile) <p-l>ស្ដេចសាលម៉ានេស៊ីរទី៥។</p-l>
shalom	(Hebrew "peace") <p-l>ភាសាហេព្រើរ សាឡិម (សន្តិភាព)</p-l>
shame	(painful emotion resulting from an awareness of having done something dishonourable, unworthy, degrading etc.) <p-l>សេចក្តីអៀនខ្មាស។</p-l>
Shamgar	<p-l>សាំកើរ</p-l>
Shammai, School of...	(a school of early 1st Century AD Jewish thought that debated with the School of Hillel upon matters of ritual practice, ethics and theology) <p-l>ពួក សាម៉ាយ។</p-l>
shard	(a broken piece of pottery) <p-l>បំណែកកុលាលភាជន៍</p-l>
Shaveh, Valley of...	(Gen.14) <p-l>ច្រកភ្នំសាវេ</p-l>
Shaveh-kiriathaim	(Gen.14:5) <p-l>វាលសាវា-គារយ៉ាថែម</p-l>
sheaf	(a bundle of reaped but unthreshed corn) <p-l>កណ្តាប់</p-l>
Shealtiel	<p-l>សាលធាល</p-l>
Shearjashub	(Is. 7:3 the name of a son of the Prophet Isaiah) <p-l>ស្នា-យ៉ាស៊ូប</p-l>
Sheba	(son of Raamah; son of Joktan) <p-l>សេបា</p-l>
Shebitku/Shabataka	(the third pharaoh of the 25th Dynasty of Egypt, who ruled c. 707690 BC) <p-l>ផារ៉ាន សេបឺតគូ។</p-l>
Shebna	<p-l>សេបណា</p-l>
Shechem	<p-l>ស៊ីគែម</p-l> (town of...) <p-l>ក្រុងសីគែម</p-l>
shed	(vb) [to cause to pour (blood)] <p-l>បង្ហូរ (គ.ប : ចាយ គ.ខ.ប : បង្ហូរ)</p-l>
shekel	(the chief silver coin of the Hebrews, as well as being a unit of weight, before the advent of coins, equal to 20 gerahs) <p-l>រៀល (គ.បៈ រៀល (គ.ខ.បៈ : ប្រាក់សុទ្ធ បួនតម្លឹង ណែន)]។</p-l>
Shelah	(son of Arphaxad, son of Shem) <p-l>សេឡា</p-l>
Sheleph	(son of Joktan, son of Eber) <p-l>សេលែប</p-l>
Shem	(eldest son of Noah) <p-l>សិម</p-l>
Shema	<p-l>សេម៉ា</p-l>
Shema, the...	[term referring to the whole part of the daily prayer of observant Jews that commences with Shema Yisrael ("Hear, O Israel") and comprises of Deut. 6:4-9; 11:13-21 & Num. 15:37-41] <p-l>ការអធិស្ឋាន សេម៉ា ។</p-l>
Shemeber, King...	(Gen. 14:2) <p-l>ស្ដេចសេមេប៉ើរ</p-l>
Sheol	(Hebrew name for the abode of the dead) <p-l>ស្ថានឃុំព្រលឹងមនុស្សស្លាប់</p-l>
Shephelah	(Judean lowland between Mt. Hebron and the coastal plains of Philistia) <p-l>ស្រុក ទំនាបស៊ីហ្វិឡាស។</p-l>
shepherd	(a person who tends sheep) <p-l>អ្នកគង្វាល</p-l>
Shepherd	(Jesus in his role as divine carer of sheep) <p-l>អង្គគង្វាល</p-l>
sherd	<p-l>សូមមើល</p-l> shard
Sheshbazzar	<p-l>សេសបាសារ</p-l>
Sheshonq I	(a Meshwesh Berber pharaoh of Egypt and founder of the 22nd Dynasty who ruled c. 943-922 BC) <p-l>ជារៀន សេស្យុងទី១។</p-l>
Sheshonq V	(final pharaoh of the 22nd Dynasty of Egypt who ruled c. 778-740 BC when the kingdom disintegrated into various city-states) <p-l>ផារ៉ាន សេស្យុងទី៥។</p-l>
Shiloh, area of...	<p-l>តំបន់ស៊ីឡូរ</p-l>
Shimei	<p-l>ស៊ីម៉ាយ</p-l>
Shinab, King...	(Gen. 14:2) <p-l>ស្ដេចស៊ីណាប</p-l>
Shinar, land of...	<p-l>ស្រុកស៊ីណើរ</p-l>
shoot	(the first aerial part of a plant to develop from a germinating seed) <p-l>លំពង់ (គ.ប : លំពង់ គ.ខ.ប : ខ្នែង)។</p-l>
shovel	(an instrument for lifting or scooping loose material such as earth, coal or excrement) <p-l>ចបជីក (គ.ប : ចបជីក គ.ខ.ប : ចប)</p-l>
showbread/shewbread	(the cakes or loaves of bread which were always present on a specially dedicated table in the Temple, as an offering to the Lord) <p-l>នំប៉័ងតាំងទុក [គ.ប : នំប៉័ងតាំងទុក (គ.ខ.បៈ នំប៉័ងជាតង្វាយអចិន្ត្រៃយ៍ នំប៉័ងដែលគេទាំងថ្វាយព្រះអម្ចាស់)]។</p-l>
shrewd	(adj) (astute, often with regard to business) <p-l>ឆ្លៀវឆ្លាត (គ.ប : ឆ្លៀវឆ្លាត គ.ខ.ប : ប៊ុន ប្រសប់)</p-l>
