a	masculine noun <br>(letra) A, a <br><p-l>XXX de A a Z </p-l>YYYfrom A to Z 
bêbado	<ul><li>A adjective <br>(bêbedo) drunk, intoxicated <br><p-l>XXX chegar bêbado em casa </p-l>YYYto arrive home drunk </li><li>B bêbada masculine noun, feminine noun <br>(ébrio) drunk, drunkard <br><p-l>XXX um bêbado que vaga pelas ruas </p-l>YYYa drunkard who wanders through the streets </li></ul>
bêbedo	<ul><li>A bêbeda masculine noun, feminine noun <br>drunk, drunkard </li><li>B adjective <ol><li>1 (embriagado) drunk, intoxicated ‹pessoa› <br><p-l>XXX perdido de bêbedo </p-l>YYYwasted <br><p-l>XXX a cair de bêbedo </p-l>YYYfalling-over drunk </li><li>2 (estonteado) tipsy ‹pessoa› <br><p-l>XXX bêbeda de sono </p-l>YYYpunch drunk <br>EXPRESSÃO <br>bêbedo como um cacho <br>Portugal drunk as a skunk informal </li></ol></li></ul>
bênção	feminine noun <ol><li>1 Religion blessing <br><p-l>XXX uma bênção de Deus </p-l>YYYa blessing from God </li><li>2 (graça) blessing <br><p-l>XXX ser uma bênção </p-l>YYYto be a blessing <br><p-l>XXX aquela chuva foi uma bênção </p-l>YYYthat rain was a blessing </li></ol>
bê-á-bá	masculine noun <ol><li>1 (rudimentos) ABCs, basics <br><p-l>XXX foi com esse jornalista que eu aprendi o bê-á-bá dessa profissão </p-l>YYYit was from that journalist that I learned the ABCs of that profession <br><p-l>XXX todos sabem o bê-á-bá da economia </p-l>YYYeveryone knows the basics of economics </li><li>2 informal (abecedário) alphabet <br><p-l>XXX a cantoria do bê-á-bá </p-l>YYYsinging the alphabet </li><li>3 (primeiras noções de leituras) ABCs <br><p-l>XXX a criança havia aprendido o bê-á-bá </p-l>YYYthe child had learned her ABCs <br>EXPRESSÃO <br>não saber o bê-á-bá <br>to be illiterate </li></ol>
bíblia	feminine noun <ol><li>1 Religion the Bible <br><p-l>XXX a interpretação da Bíblia </p-l>YYYthe interpretation of the Bible </li><li>2 figurative (obra fundamental) bible <br><p-l>XXX o tratado em estilo latino se tornou uma bíblia para os humanistas </p-l>YYYthe Latin-style treaty became a bible for the Humanists </li></ol>
bíblico	adjective <br>biblical ‹profecia, versículo, ensinamento› <br><p-l>XXX as teatralizações dessa narrativa bíblica têm virado superproduções </p-l>YYYthe dramatizations of that biblical story have become extravaganzas 
bíceps	masculine noun pl bíceps <ol><li>1 (músculo) biceps <br><p-l>XXX o tendão do bíceps </p-l>YYYthe biceps tendon <br><p-l>XXX treinar bíceps </p-l>YYYto do a biceps workout <br><p-l>XXX ontem treinei costas e bíceps </p-l>YYYyesterday I did a back and biceps workout </li><li>2 Brazil informal (força física bruta) brute strength <br><p-l>XXX aquele cara só tem bíceps! </p-l>YYYthat guy only has brute strength </li></ol>
bífido	adjective <ol><li>1 Botany bifid ‹estigma› <br><p-l>XXX pétala/folha bífida </p-l>YYYbifid petal/leaf </li><li>2 Anatomy bifida ‹apêndice› <br><p-l>XXX espinha bífida </p-l>YYYspina bifida </li></ol>
bígamo	<ul><li>A bígama masculine noun, feminine noun <br>(que tem dois cônjuges) bigamist <br><p-l>XXX o bígamo sedutor </p-l>YYYthe seductive bigamist </li><li>B adjective <br>(que tem dois cônjuges) bigamous ‹pessoa, vocação, casamento› </li></ul>
bílis	feminine noun <ol><li>1 Physiology bile <br><p-l>XXX secreção de bílis </p-l>YYYsecretion of bile </li><li>2 (mau humor) bile <br><p-l>XXX verter bílis pela mídia </p-l>YYYto spout bile in the media </li></ol>
bípede	<ul><li>A masculine noun <ol><li>1 Zoology biped <br><p-l>XXX a galinha é um bípede </p-l>YYYthe chicken is a biped </li><li>2 (ser humano) biped <br><p-l>XXX o Homem é um bípede racional </p-l>YYYman is a rational biped </li><li>B adjective <br>(dípode) bipedal ‹homem, animal› </li></ol></li></ul>
bócio	masculine noun <br>Medicine goiter 
bófia	feminine noun Portugal <br>cop informal 
bólide	masculine noun <ol><li>1 (meteorito) meteorite </li><li>2 figurative (carro veloz) sports car, racing car </li></ol>
bólingue	masculine noun Portugal <ol><li>1 (jogo) bowling </li><li>2 (estabelecimento) bowling alley </li></ol>
bórico	adjective <br>boric 
bósnia-herzegovina	feminine noun <br>Bosnia and Herzegovina 
bósnio	<ul><li>A bósnia masculine noun, feminine noun <br>Bosnian </li><li>B adjective <br>Bosnian </li></ul>
bônus	@bónus Portugal <br>masculine noun pl bônus bónus <ol><li>1 (prêmio) bonus <br><p-l>XXX distribuir bônus salariais para professores </p-l>YYYto pay out salary bonuses to teachers </li><li>2 (desconto) discount <br><p-l>XXX bônus de adimplência </p-l>YYYBrazil discount for prompt payment </li></ol>
bônus demográfico	masculine noun <br>Statistics demographic bonus or dividend 
búfalo	masculine noun <br>buffalo <br><p-l>XXX pele de búfalo </p-l>YYYbuffalo hide 
búlgaro	<ul><li>A búlgara masculine noun, feminine noun <br>(natural da Bulgária) Bulgarian </li><li>B masculine noun <br>(língua) Bulgarian </li><li>C adjective <br>Bulgarian ‹pessoa, clima, economia› </li></ul>
bússola	feminine noun <ol><li>1 (instrumento de orientação) compass </li><li>2 figurative (guia) guiding light figurative <br><p-l>XXX minha mulher é a minha bússola </p-l>YYYmy wife is my guiding light </li></ol>
búzio	masculine noun <ol><li>1 Zoology conch </li><li>2 (concha univalve) conch (shell) </li><li>3 (em adivinhação) conch shell <br>EXPRESSÃO <br>consultar os búzios <br>≈ to read the tea leaves, to tell someone's fortune </li></ol>
c	@c <br>masculine noun <br>(letra) C, c 
c.	abbreviation <br>= circa <br><p-l>XXX c. 1890 </p-l>YYYpor volta de 1890 
ca	abbreviation <ol><li>1 = California </li><li>2 = Central America </li><li>3 British <br>= chartered accountant </li></ol>
caa	abbreviation <br>British <br>= Civil Aviation Authority 
caatinga	The word Caatinga is of Tupi origin and means ‘white forest’. It is the name <br>given to both a thorny type of vegetation and an ecological region that covers <br>the north east of Brazil. This semi-arid but biologically diverse region is <br>unique to Brazil. It suffers periods of drought, and its unpredictable climate <br>makes it one of the poorest regions in the country, often forcing rural <br>families to move away from home to the richer states in the south. 
cab	noun <ol><li>1 (taxi) táxi m <br><p-l>XXX to get or call a cab </p-l>YYYpegar or chamar um táxi <br><p-l>XXX to hail a cab </p-l>YYYparar um táxi <br><p-l>XXX to go by cab </p-l>YYYir de táxi </li><li>2 (driver's compartment) cabine f Brazil; cabina f Portugal </li><li>3 dated (horse-drawn) charrete f Brazil, coche m Portugal </li></ol>
cabal	adjective <ol><li>1 (completo) full, complete ‹evidência, demonstração, apuração› <br><p-l>XXX darei uma resposta cabal refutando esse erro </li><li>I will provide a full or complete answer refuting this error </li><li>2 (definitivo) definitive ‹exemplo, testemunho, maneira, explicação› </li><li>3 (rigoroso) thorough ‹pessoa› </p-l>YYY▸ ele foi muito cabal no seu discurso <br>he was very thorough in his speech </li></ol></li></ul>
cabala	feminine noun <ol><li>1 Religion Kabbalah </li><li>2 (conspiração) cabal, plot </li></ol>
cabalmente	adverb <br>fully ‹demonstrar, cumprir› <br><p-l>XXX não conseguem responder cabalmente aos problemas </p-l>YYYthey don't manage to respond fully to the problems 
cabalístico	adjective <ol><li>1 Religion cabalistic ‹interpretação, ritual, ensinamento› </li><li>2 (esotérico) cabalistic ‹práticas, sinais, números› </li><li>3 (oculto) cabalistic ‹segredo, intriga› </li></ol>
cabana	feminine noun <br>hut, cabin 
cabaret	noun <ol><li>1 countable (show) espetáculo m  de variedades </li><li>2 countable (nightclub, restaurant) cabaré m </li><li>3 uncountable (genre) cabaré m </li></ol>
cabaré	masculine noun <br>cabaret, nightclub 
cabaz	masculine noun Portugal <ol><li>1 (cesto) basket <br><p-l>XXX um cabaz de compras </p-l>YYYa shopping basket </li><li>2 (seleção de produtos) hamper </li></ol>
cabaça	feminine noun <ol><li>1 Botany (fruto) bottle gourd, calabash; (planta) gourd vine </li><li>2 (recipiente) gourd <br><p-l>XXX uma cabaça com água </p-l>YYYa gourd with water </li><li>3 Music gourd </li></ol>
cabaço	masculine noun <ol><li>1 (cabaça) bottle gourd, calabash </li><li>2 (recipiente) gourd </li><li>3 (peixe) gourd fish </li><li>4 (regador) watering can </li><li>5 vulgar slang (virgindade) virginity; cherry informal <br><p-l>XXX perder o cabaço </p-l>YYYto lose one's virginity or cherry </li><li>6 informal (recusa de namoro) brush-off informal <br><p-l>XXX levar um cabaço </p-l>YYYto get the brush-off </li></ol>
cabbage	noun <ol><li>1 (vegetable) repolho m Brazil, couve f Portugal </li><li>2 British offensive (brain-damaged person) vegetal m informal </li><li>3 British informal (dull person) acomodado m / acomodada f </li></ol>
cabbie	@cabby  | AmE ˈkæbi, BrE ˈkabi | <br>noun <br>informal taxista mf informal 
cab driver	noun <br>motorista mf  de táxi 
cabeceamento	masculine noun Portugal <br>header 
cabecear	<ul><li>A transitive verb <ol><li>1 Sport to head ‹bola› </li><li>2 (fazer gesto) to nod ‹cumprimento› </li><li>B intransitive verb <ol><li>1 Sport to head the ball </li><li>2 (deixar pender a cabeça) to nod (off) </li></ol></li></ul>
cabeceira	feminine noun <ol><li>1 (de cama) head <br><p-l>XXX uma mesa/um livro de cabeceira </p-l>YYYa bedside table/book <br><p-l>XXX sentar-se à cabeceira da cama </p-l>YYYto sit at the bedside </li><li>2 (de mesa) head <br><p-l>XXX o pai se sentou na cabeceira da mesa </p-l>YYYthe father sat at the head of the table </li><li>3 (nascente) head, source <br><p-l>XXX na cabeceira do rio </p-l>YYYat the head or source of the river </li><li>4 (almofada) pillow </li><li>5 (parte da sepultura) tombstone </li><li>6 Architecture apse </li></ol>
cabecilha	masculine noun <br>leader <br><p-l>XXX o cabecilha da revolta </p-l>YYYthe leader of the revolt 
cabedal	masculine noun <ol><li>1 (conjunto de bens) estate </li><li>2 (de bens intelectuais) store </li><li>3 Portugal (couro) leather <br><p-l>XXX um casaco de cabedal </p-l>YYYa leather jacket </li><li>4 (força) strength </li><li>5 (dinheiro) capital </li><li>6 informal (grande quantidade) arsenal </li></ol>
cabeleira	feminine noun <ol><li>1 (cabelos compridos) long hair </li><li>2 (peruca) hairpiece <br><p-l>XXX cabeleira postiça </p-l>YYYwig </li><li>3 (crina) mane </li><li>4 (de cometa) tail </li></ol>
cabeleireiro	<ul><li>A cabeleireira masculine noun, feminine noun <br>(profissional) hairdresser </li><li>B masculine noun <br>(salão) hairdresser's <br>▸ eu frequento um bom cabeleireiro </li><li>I go to a good hairdresser's </li></ul>
cabelo	masculine noun <ol><li>1 (pelos da cabeça) hair <br><p-l>XXX ter cabelo comprido/curto </p-l>YYYto have long/short hair <br><p-l>XXX cabelo castanho/loiro </p-l>YYYbrown/blond hair <br><p-l>XXX pentear/alisar o cabelo </p-l>YYYto comb/straighten one's hair <br><p-l>XXX cortar/tingir o cabelo </p-l>YYYto cut/dye one's hair </li><li>2 (pelo do corpo) hair <br><p-l>XXX homens com cabelo no peito </p-l>YYYmen with hairy chests <br>EXPRESSÕES <br>arrancar os cabelos <br>to get in a state <br>fazer cabelos brancos a alguém <br>Portugal to give sb sleepless nights <br>ser de deixar o cabelo em pé <br>to be enough to make one's hair stand on end </li></ol>
cabeludo	adjective <ol><li>1 (com muito cabelo) hairy ‹couro, corpo› <br><p-l>XXX pernas cabeludas </p-l>YYYhairy legs </li><li>2 (complicado) convoluted </li><li>3 (obsceno) rude </li><li>4 (inverossímil) huge ‹mentira› </li></ol>
caber	intransitive verb <ol><li>1 (poder ser contido) to fit <br><p-l>XXX as pessoas não cabiam na sala </p-l>YYYthe people didn't fit in the hall, there wasn't room for the people in the <br>hall </li><li>2 (entrar) to fit <br><p-l>XXX a câmera cabe facilmente na sua bolsa </p-l>YYYthe camera fits easily in your pocket </li><li>3 (ser de obrigação) caber a alguém <br>to be up to sb <br><p-l>XXX cabe ao juiz dar a sentença </p-l>YYYit is up to the judge to pass sentence </li><li>4 (pertencer) caber a alguém <br>to be due to sb <br><p-l>XXX quero a parte que me cabe </li><li>I want the part that is due to me </li><li>5 (ser adequado) to be appropriate </p-l>YYY▸ não cabe aqui falar disso <br>this is not the appropriate place to talk about that <br><p-l>XXX cabe a pergunta </p-l>YYYit is a fair question <br>EXPRESSÃO <br>não caber em si de contente/felicidade/satisfação <br>to be beside oneself with joy/happiness/satisfaction </li></ol></li></ul>
cabeça	<ul><li>A feminine noun <ol><li>1 Anatomy head <br><p-l>XXX levantar/baixar a cabeça </p-l>YYYto raise/lower one's head <br><p-l>XXX deitar or encostar a cabeça </p-l>YYYto lean one's head <br><p-l>XXX abanar a cabeça </p-l>YYYto shake one's head <br><p-l>XXX de cabeça levantada/baixa </p-l>YYYwith one's head raised/bowed </li><li>2 (cabelo) hair <br><p-l>XXX lavar a cabeça </p-l>YYYto wash one's hair </li><li>3 Medicine head <br><p-l>XXX a cabeça do úmero </p-l>YYYthe humeral head </li><li>4 Botany head <br><p-l>XXX uma cabeça de alho </p-l>YYYa head of garlic <br><p-l>XXX cabeça do alfinete </p-l>YYYpinhead </li><li>5 (extremidade) head, top <br><p-l>XXX a cabeça do dedo </p-l>YYYthe tip of one's finger </li><li>6 (unidade) head <br><p-l>XXX 20 cabeças de gado </li><li>20 head of cattle </p-l>YYY▸ contar as cabeças <br>to count heads </li><li>7 (inteligência) head <br><p-l>XXX ele tem boa cabeça para os negócios </p-l>YYYhe has a good head for business </li><li>8 (calma) ele perdeu a cabeça quando ouviu a má notícia <br>he lost his head when he heard the bad news </li><li>9 (mente) head, mind <br><p-l>XXX aquela música não me sai da cabeça </li><li>I can't get that music out of my head </p-l>YYY▸ essa ideia não me passou pela cabeça <br>that idea didn't cross my mind <br><p-l>XXX fazer o que vem à cabeça </p-l>YYYto do whatever comes to mind <br><p-l>XXX onde é que eu tinha a cabeça? </p-l>YYYwhat on earth was I thinking about? </li><li>10 (pessoa inteligente) egghead <br><p-l>XXX ser uma cabeça </p-l>YYYto be an egghead </li><li>11 Journalism (abertura) heading </li><li>B masculine and feminine noun <br>(líder) leader, head <br><p-l>XXX ele foi o cabeça da revolução </p-l>YYYhe was the leader of the revolution <br><p-l>XXX ela é a cabeça do departamento </p-l>YYYshe is the head of department </li><li>C de cabeça adverb phrase <br>(sem inibições) head first; (mentalmente) from memory <br><p-l>XXX ela se atirou de cabeça no novo relacionamento </p-l>YYYshe dived head first into the new relationship <br><p-l>XXX dizer algo de cabeça </p-l>YYYto say sth from memory <br><p-l>XXX contas de cabeça </p-l>YYYmental arithmetic <br>EXPRESSÕES <br>cabeça a cabeça (de alguém) <br>neck and neck (with sb) <br>de cabeça erguida <br>(com orgulho) with one's head held high <br>de cabeça para baixo <br>(invertido) upside down: <br><p-l>XXX parece que o mundo ficou de cabeça para baixo </p-l>YYYit seems the world has turned upside down <br>de cabeça perdida <br>Portugal (sem tino) head over heels: <br><p-l>XXX ele estava de cabeça perdida pela namorada </p-l>YYYhe was head over heels in love with his girlfriend <br>enfiar a cabeça na areia, meter a cabeça na areia Portugal <br>to stick or bury one's head in the sand: <br><p-l>XXX ele prefere enfiar a cabeça na areia </p-l>YYYhe prefers to bury his head in the sand <br>estar com/ter a cabeça em água <br>Portugal to have one's head swimming: <br><p-l>XXX e não falemos mais nisto, que tenho a cabeça em água </p-l>YYYand let's not talk any more about it, my head is all swimming <br>fazer a cabeça de alguém <br>Brazil informal to influence sb <br>pôr a cabeça de alguém a prêmio Brazil, pôr a cabeça de alguém a prémio <br>Portugal <br>to put a bounty on sb's head <br>quebrar a cabeça <br>to rack one's brain: <br><p-l>XXX não quebre mais a cabeça com detalhes </p-l>YYYdon't rack your brain anymore over the details <br>ser a cabeça pensante de algo <br>to be the brains of sth <br>ter a cabeça a prêmio Brazil, ter a cabeça a prémio Portugal <br>to have a price on one's head: <br><p-l>XXX um bandido com a cabeça a prémio </p-l>YYYa bandit with a price on his head <br>ter a cabeça na lua or no ar or nas nuvens <br>to have one's head in the clouds: <br><p-l>XXX ela tem sempre a cabeça no ar </p-l>YYYshe always has her head in the clouds <br>ter a cabeça no lugar <br>to have one's head screwed on </li></ol></li></ul>
