#no sort
SOL 8:4	<p-n>@Hohelied  8:4</p-n>	Ich beschwöre euch, ihr Töchter Jerusalems, was wollt ihr die Liebe erwecken, und was wollt ihr sie erregen, bevor es ihr selbst gefällt?  
SOL 8:5	<p-n>@Hohelied  8:5</p-n>	Wer ist, die da heraufkommt von der Wüste, gestützt auf ihren Freund? Unter dem Apfelbaum weckte ich dich auf; dort litt deine Mutter Wehen für dich, dort litt Wehen sie, die dich gebar.  
SOL 8:6	<p-n>@Hohelied  8:6</p-n>	Trage mich wie einen Siegelstein auf deinem Herzen, wie einen Siegelring an deinem Arm! Denn Liebe ist stark wie der Tod, und Eifersucht hart wie das Totenreich; ihre Glut ist Feuerglut, eine Flamme des HERRN.  
SOL 8:7	<p-n>@Hohelied  8:7</p-n>	Viele Wasser vermögen die Liebe nicht auszulöschen, und Ströme ertränken sie nicht. Wenn ein Mensch allen Reichtum seines Hauses um die Liebe gäbe, so würde man ihn nur verachten.  
SOL 8:8	<p-n>@Hohelied  8:8</p-n>	Wir haben eine kleine Schwester, die noch keine Brüste hat. Was fangen wir mit unserer Schwester an am Tage, da man um sie freit?  
SOL 8:9	<p-n>@Hohelied  8:9</p-n>	Ist sie eine Mauer, so bauen wir einen silbernen Kranz darauf; ist sie aber eine Tür, so verschließen wir sie mit einem Zedernbrett!  
SOL 8:10	<p-n>@Hohelied  8:10</p-n>	Ich bin eine Mauer, und meine Brüste sind wie Türme; da ward ich in seinen Augen wie eine, die Frieden gefunden hat.  
SOL 8:11	<p-n>@Hohelied  8:11</p-n>	Salomo hatte einen Weinberg zu Baal-Hamon; er übergab den Weinberg den Hütern, jeder sollte für seine Frucht tausend Silberlinge bringen.  
SOL 8:12	<p-n>@Hohelied  8:12</p-n>	Der Weinberg, der mir anvertraut ward, ist vor mir; die tausend dir, o Salomo, und zweihundert den Hütern seiner Frucht!  
SOL 8:13	<p-n>@Hohelied  8:13</p-n>	Die du in den Gärten wohnst, die Gefährten lauschen deiner Stimme; laß mich sie hören!  
SOL 8:14	<p-n>@Hohelied  8:14</p-n>	Fliehe, mein Lieber, und sei der Gazelle gleich oder dem jungen Hirsch auf den Balsambergen!   
ISA 1:1	<p-n>@Jesaja  1:1</p-n>	Gesicht Jesajas, des Sohnes des Amoz, das er geschaut hat über Juda und Jerusalem in den Tagen Ussijas, Jotams, Ahas' und Hiskias, der Könige von Juda:  
ISA 1:2	<p-n>@Jesaja  1:2</p-n>	Höret, ihr Himmel, nimm zu Ohren, o Erde; denn der HERR hat gesprochen: Ich habe Kinder großgezogen und erhöht, und sie sind von mir abgefallen.  
ISA 1:3	<p-n>@Jesaja  1:3</p-n>	Ein Ochs kennt seinen Besitzer, ein Esel die Krippe seines Herrn; Israel kennt ihn nicht, mein Volk unterscheidet nicht.  
ISA 1:4	<p-n>@Jesaja  1:4</p-n>	Wehe dem sündigen Volk, dem schuldbeladenen Geschlecht! Same der Übeltäter, Kinder des Verderbens! Sie verlassen den HERRN, lästern den Heiligen Israels, weichen zurück.  
ISA 1:5	<p-n>@Jesaja  1:5</p-n>	Was soll man euch noch weiter schlagen, da ihr fortfahret, abtrünnig zu sein? Das ganze Haupt ist krank, das ganze Herz ist verderbt.  
ISA 1:6	<p-n>@Jesaja  1:6</p-n>	Von der Fußsohle bis zum Scheitel ist nichts Unversehrtes an ihm, sondern klaffende Wunden und Striemen und frische Beulen, die nicht ausgedrückt, noch verbunden, noch mit Öl gelindert sind.  
ISA 1:7	<p-n>@Jesaja  1:7</p-n>	Euer Land ist verwüstet, eure Städte sind mit Feuer verbrannt, Fremde fressen euer Land vor euren Augen, und es ist verwüstet, wie von Fremden verheert.  
ISA 1:8	<p-n>@Jesaja  1:8</p-n>	Und die Tochter Zion ist übriggeblieben wie eine Hütte im Weinberg, wie ein Wachthäuschen im Gurkenfeld, wie eine belagerte Stadt.  
ISA 1:9	<p-n>@Jesaja  1:9</p-n>	Hätte uns der HERR der Heerscharen nicht einen Rest übriggelassen, so wären wir bald wie Sodom und gleich wie Gomorra geworden!  
ISA 1:10	<p-n>@Jesaja  1:10</p-n>	Höret das Wort des HERRN, ihr Fürsten von Sodom! Nimm zu Ohren das Gesetz unsres Gottes, du Volk von Gomorra!  
ISA 1:11	<p-n>@Jesaja  1:11</p-n>	Was soll mir die Menge eurer Opfer? spricht der HERR. Ich bin satt der Brandopfer von Widdern und des Fettes der Mastkälber! Blut der Farren, Lämmer und Böcke begehre ich nicht!  
ISA 1:12	<p-n>@Jesaja  1:12</p-n>	Wenn ihr kommt, um vor meinem Angesicht zu erscheinen, wer fordert solches von euren Händen, daß ihr meine Vorhöfe zertretet?  
ISA 1:13	<p-n>@Jesaja  1:13</p-n>	Bringet nicht mehr vergebliches Speisopfer! Räucherwerk ist mir ein Greuel! Neumond und Sabbat, Versammlung halten, Frevel und Festgedränge mag ich nicht!  
ISA 1:14	<p-n>@Jesaja  1:14</p-n>	Eure Neumonde und Festzeiten haßt meine Seele, sie sind mir zur Last geworden; ich kann sie nicht mehr ertragen.  
ISA 1:15	<p-n>@Jesaja  1:15</p-n>	Und wenn ihr eure Hände ausbreitet, verhülle ich meine Augen vor euch, und wenn ihr auch noch so viel betet, höre ich doch nicht; denn eure Hände sind voll Blut!  
ISA 1:16	<p-n>@Jesaja  1:16</p-n>	Waschet, reiniget euch! Tut das Böse, das ihr getan habt, von meinen Augen hinweg, höret auf, übelzutun!  
ISA 1:17	<p-n>@Jesaja  1:17</p-n>	Lernet Gutes tun, erforschet das Recht, bestrafet den Gewalttätigen, schaffet den Waislein Recht, führet die Sache der Witwe!  
ISA 1:18	<p-n>@Jesaja  1:18</p-n>	Kommt doch, wir wollen miteinander rechten, spricht der HERR: Wenn eure Sünden wie Scharlach sind, sollen sie weiß werden wie der Schnee; wenn sie rot sind wie Purpur, sollen sie wie Wolle werden.  
ISA 1:19	<p-n>@Jesaja  1:19</p-n>	Seid ihr willig und gehorsam, so sollt ihr das Gut des Landes essen;  
ISA 1:20	<p-n>@Jesaja  1:20</p-n>	weigert ihr euch aber und seid widerspenstig, so sollt ihr vom Schwerte gefressen werden! Ja, der Mund des HERRN hat es gesprochen.  
ISA 1:21	<p-n>@Jesaja  1:21</p-n>	Wie ist die fromme Stadt zur Dirne geworden? Sie war voll Recht; Gerechtigkeit wohnte in ihr, nun aber Mörder!  
ISA 1:22	<p-n>@Jesaja  1:22</p-n>	Dein Silber ist zu Schlacken geworden und dein edler Wein mit Wasser verfälscht.  
ISA 1:23	<p-n>@Jesaja  1:23</p-n>	Deine Vorgesetzten sind Widerspenstige und Diebsgesellen; sie nehmen alle gern Geschenke und jagen nach Belohnung; der Waise schaffen sie nicht Recht, und der Witwen Sache kommt nicht vor sie.  
ISA 1:24	<p-n>@Jesaja  1:24</p-n>	Darum spricht der Herrscher, der HERR der Heerscharen, der Mächtige Israels, also: Wehe, ich will mir Genugtuung verschaffen von meinen Feinden und mich rächen an meinen Widersachern;  
ISA 1:25	<p-n>@Jesaja  1:25</p-n>	und ich will meine Hand an dich legen und mit Laugensalz dich von deinen Schlacken läutern und all dein Blei wegschaffen;  
ISA 1:26	<p-n>@Jesaja  1:26</p-n>	und ich werde deine Richter wieder machen, wie sie ursprünglich waren, und deine Ratsherren wie am Anfang; darnach wirst du genannt werden die gerechte Stadt, die fromme Stadt.  
ISA 1:27	<p-n>@Jesaja  1:27</p-n>	Zion wird durch Recht erlöst werden und ihre Wiederkehrenden durch Gerechtigkeit;  
ISA 1:28	<p-n>@Jesaja  1:28</p-n>	aber der Zusammenbruch der Übertreter und Sünder kommt zumal, und die den HERRN verlassen, kommen um.  
ISA 1:29	<p-n>@Jesaja  1:29</p-n>	Denn sie werden zuschanden an den Eichen, an denen ihr Lust hattet, und ihr sollt schamrot werden wegen der Gärten, die ihr erwählt habt;  
ISA 1:30	<p-n>@Jesaja  1:30</p-n>	denn ihr werdet sein wie eine Eiche, deren Laub verwelkt, und wie ein Garten, der ohne Wasser ist;  
ISA 1:31	<p-n>@Jesaja  1:31</p-n>	und der Starke wird zum Werg und sein Tun zum Funken, und beide werden miteinander brennen, daß niemand löschen wird.   
ISA 2:1	<p-n>@Jesaja  2:1</p-n>	Das Wort, welches Jesaja, der Sohn des Amoz, über Juda und Jerusalem sah:  
ISA 2:2	<p-n>@Jesaja  2:2</p-n>	Es wird in spätern Zeiten geschehen, daß der Berg des Hauses des HERRN festgegründet an der Spitze der Berge stehen und über alle Höhen erhaben sein wird, und es werden ihm alle Heiden zuströmen;  
ISA 2:3	<p-n>@Jesaja  2:3</p-n>	und viele Völker werden hingehen und sagen: Kommt, laßt uns wallen zum Berge des HERRN, zum Hause des Gottes Jakobs, daß er uns belehre über seine Wege und wir wandeln auf seinen Pfaden! Denn von Zion wird die Lehre ausgehen und des HERRN Wort von Jerusalem.  
ISA 2:4	<p-n>@Jesaja  2:4</p-n>	Und er wird Schiedsrichter sein zwischen den Nationen und zurechtweisen große Völker, also daß sie ihre Schwerter zu Pflugscharen und ihre Spieße zu Rebmessern verschmieden werden; kein Volk wird wider das andere ein Schwert erheben, und sie werden den Krieg nicht mehr erlernen.  
ISA 2:5	<p-n>@Jesaja  2:5</p-n>	Komm, o Haus Jakobs, wir wollen wandeln im Lichte des HERRN!  
ISA 2:6	<p-n>@Jesaja  2:6</p-n>	Denn du hast dein Volk, das Haus Jakobs, verstoßen; denn sie sind voll morgenländischen Wesens und sind Wolkendeuter wie die Philister und haben sich mit den Kindern der Fremden verbündet.  
ISA 2:7	<p-n>@Jesaja  2:7</p-n>	Ihr Land ist voll Silber und Gold und ihrer Schätze kein Ende; ihr Land ist voll Rosse, und ihrer Wagen ist kein Ende;  
ISA 2:8	<p-n>@Jesaja  2:8</p-n>	auch ist ihr Land voll Götzen, das Werk ihrer Hände beten sie an und das, was ihre Finger gemacht haben.  
ISA 2:9	<p-n>@Jesaja  2:9</p-n>	Da beugt sich der Mensch, da demütigt sich der Mann; aber du wirst es ihnen nicht vergeben!  
ISA 2:10	<p-n>@Jesaja  2:10</p-n>	Gehe hinein in den Fels und verbirg dich im Staube aus Furcht vor dem HERRN und vor seiner majestätischen Pracht!  
ISA 2:11	<p-n>@Jesaja  2:11</p-n>	Die stolzen Augen der Menschen werden erniedrigt, und der Männer Hochmut wird gebeugt werden; der HERR aber wird allein erhaben sein an jenem Tage.  
ISA 2:12	<p-n>@Jesaja  2:12</p-n>	Denn es kommt ein Tag vom HERRN der Heerscharen über alles Stolze und Hohe und über alles Erhabene, daß es erniedrigt werde;  
ISA 2:13	<p-n>@Jesaja  2:13</p-n>	über alle hohen und erhabenen Zedern Libanons und über alle Eichen Basans;  
ISA 2:14	<p-n>@Jesaja  2:14</p-n>	über alle hohen Berge und über alle erhabenen Höhen;  
ISA 2:15	<p-n>@Jesaja  2:15</p-n>	über alle hohen Türme und über alle festen Mauern;  
ISA 2:16	<p-n>@Jesaja  2:16</p-n>	über alle Tarsisschiffe und über alle köstlichen Kleinodien;  
ISA 2:17	<p-n>@Jesaja  2:17</p-n>	und der menschliche Hochmut wird gebeugt und der Männerstolz gedemütigt werden, der HERR allein aber wird erhaben sein an jenem Tage.  
ISA 2:18	<p-n>@Jesaja  2:18</p-n>	Und die Götzen werden gänzlich verschwinden.  
ISA 2:19	<p-n>@Jesaja  2:19</p-n>	Und man wird sich in Felshöhlen und Erdlöcher verkriechen aus Furcht vor dem HERRN und vor seiner majestätischen Pracht, wenn er sich aufmachen wird, die Erde zu schrecken.  
ISA 2:20	<p-n>@Jesaja  2:20</p-n>	An jenem Tage wird der Mensch seine silbernen und goldenen Götzen, die er sich gemacht hatte, um sie zu verehren, den Maulwürfen und Fledermäusen hinwerfen,  
ISA 2:21	<p-n>@Jesaja  2:21</p-n>	um hineinzukriechen in die Felsspalten und Steinklüfte aus Furcht vor dem HERRN und seiner prachtvollen Majestät, wenn er sich aufmachen wird, die Erde zu schrecken.  
ISA 2:22	<p-n>@Jesaja  2:22</p-n>	So lasset nun ab von dem Menschen, der nur Hauch in seiner Nase hat, denn wofür ist er zu achten?   
ISA 3:1	<p-n>@Jesaja  3:1</p-n>	Denn siehe, der HERR, der HERR der Heerscharen, wird von Jerusalem und Juda wegnehmen Stab und Stütze, jede Stütze an Brot und jede Stütze an Wasser,  
ISA 3:2	<p-n>@Jesaja  3:2</p-n>	den Helden und den Kriegsmann, den Richter und den Propheten, den Wahrsager und den Ältesten,  
ISA 3:3	<p-n>@Jesaja  3:3</p-n>	den Hauptmann über fünfzig und den Hochangesehenen, den Ratsherrn samt dem geschickten Handwerker und den Zauberkundigen.  
ISA 3:4	<p-n>@Jesaja  3:4</p-n>	Und ich werde ihnen Knaben zu Fürsten geben, und Buben sollen sie beherrschen.  
ISA 3:5	<p-n>@Jesaja  3:5</p-n>	Und die Leute werden sich gegenseitig drängen, einer den andern; der Junge wird sich empören gegen den Alten und der Verachtete wider den Vornehmen.  
ISA 3:6	<p-n>@Jesaja  3:6</p-n>	Wenn einer alsdann seinen Bruder im Hause seines Vaters festhalten und zu ihm sagen wird: «Du hast ein Kleid, sei unser Fürst, und diese Trümmer seien unter deiner Hand!»  
ISA 3:7	<p-n>@Jesaja  3:7</p-n>	so wird er schwören und sagen: «Ich kann nicht Wundarzt sein, und in meinem Hause ist weder Brot noch Kleid: macht mich nicht zum Fürsten des Volkes!»  
ISA 3:8	<p-n>@Jesaja  3:8</p-n>	Denn Jerusalem strauchelt und Juda fällt, weil ihre Zungen und ihre Taten wider den HERRN gerichtet sind, den Augen seiner Majestät zu widerstreben.  
ISA 3:9	<p-n>@Jesaja  3:9</p-n>	Der Ausdruck ihres Angesichts zeugt wider sie, und ihre Sünden künden sie aus wie die Sodomiter und verbergen sie nicht. Wehe ihren Seelen, denn sie fügen sich selbst Schaden zu.  
ISA 3:10	<p-n>@Jesaja  3:10</p-n>	Saget den Gerechten, daß es ihnen wohl gehen wird; denn sie werden die Frucht ihrer Taten genießen.  
ISA 3:11	<p-n>@Jesaja  3:11</p-n>	Wehe dem Gottlosen! Ihm geht es schlecht; denn er wird den Lohn seiner Tat bekommen!  
ISA 3:12	<p-n>@Jesaja  3:12</p-n>	Mein Volk wird von Kindern bedrückt, und Weiber beherrschen es. Mein Volk, deine Führer verführen dich und haben den Weg verwüstet, den du wandeln sollst.  
ISA 3:13	<p-n>@Jesaja  3:13</p-n>	Der HERR tritt auf, um zu rechten, und steht da, um die Völker zu richten.  
ISA 3:14	<p-n>@Jesaja  3:14</p-n>	Der HERR geht ins Gericht mit den Ältesten des Volkes und mit seinen Fürsten: Ihr habt den Weinberg verderbt! Der Raub des Armen ist in euren Häusern!  
ISA 3:15	<p-n>@Jesaja  3:15</p-n>	Warum zertretet ihr mein Volk und unterdrückt die Person der Elenden? spricht der Herr, der HERR der Heerscharen.  
ISA 3:16	<p-n>@Jesaja  3:16</p-n>	Und der HERR sprach: Weil die Töchter Zions stolz geworden sind und mit emporgerecktem Hals einhergehen und herausfordernde Blicke werfen; weil sie trippelnd einhergehen und mit ihren Fußspangen klirren,  
ISA 3:17	<p-n>@Jesaja  3:17</p-n>	so wird der Herr den Scheitel der Töchter Zions kahl machen, und der HERR wird ihre Scham entblößen.  
ISA 3:18	<p-n>@Jesaja  3:18</p-n>	An jenem Tage wird der Herr die Zierde der Fußspangen, der Stirnbänder und Möndchen wegnehmen,  
ISA 3:19	<p-n>@Jesaja  3:19</p-n>	die Ohrgehänge, die Armspangen, die Schleier, die Turbane,  
ISA 3:20	<p-n>@Jesaja  3:20</p-n>	die Schrittfesseln und die Gürtel, die Riechfläschchen und die Amulette,  
ISA 3:21	<p-n>@Jesaja  3:21</p-n>	die Fingerringe und die Nasenringe,  
ISA 3:22	<p-n>@Jesaja  3:22</p-n>	die Feierkleider und die Mäntel, die Überwürfe und die Täschchen;  
ISA 3:23	<p-n>@Jesaja  3:23</p-n>	die Spiegel und Hemden, die Hüte und die Schleier;  
ISA 3:24	<p-n>@Jesaja  3:24</p-n>	und statt des Wohlgeruches gibt es Moder, statt des Gürtels einen Strick, statt der gekräuselten Haare eine Glatze, statt des Prunkgewandes einen engen Sack, und ein Brandmal statt der Schönheit.  
ISA 3:25	<p-n>@Jesaja  3:25</p-n>	Deine Männer werden durchs Schwert fallen und deine Helden im Krieg.  
ISA 3:26	<p-n>@Jesaja  3:26</p-n>	Ihre Tore werden seufzen und trauern, und sie wird ausgeplündert auf der Erde sitzen.   
ISA 4:1	<p-n>@Jesaja  4:1</p-n>	Alsdann werden sieben Frauen einen Mann ergreifen und sagen: Wir wollen unser eigenes Brot essen und uns selbst bekleiden; laß uns nur deinen Namen tragen, nimm unsre Schmach hinweg!  
ISA 4:2	<p-n>@Jesaja  4:2</p-n>	An jenem Tage wird der Sproß des HERRN zur Zierde und Ehre dienen und die Frucht des Landes zum Ruhm und Preis den Geretteten Israels.  
ISA 4:3	<p-n>@Jesaja  4:3</p-n>	Und es wird geschehen: jeder Übriggebliebene in Zion und jeder Übriggelassene in Jerusalem wird «heilig» heißen, jeder, der unter die Lebendigen eingeschrieben ist in Jerusalem.  
ISA 4:4	<p-n>@Jesaja  4:4</p-n>	Ja, wenn der Herr den Unflat der Töchter Zions abgewaschen und die Blutschulden Jerusalems aus seiner Mitte hinweggetan hat durch den Geist des Gerichts und den Geist der Vertilgung,  
ISA 4:5	<p-n>@Jesaja  4:5</p-n>	dann wird der HERR über der ganzen Wohnung des Berges Zion und über ihren Versammlungen bei Tag eine Wolke und Rauch schaffen und den Glanz einer Feuerflamme bei Nacht;  
ISA 4:6	<p-n>@Jesaja  4:6</p-n>	denn über der ganzen Herrlichkeit wird eine Decke sein und eine Hütte zum Schatten tagsüber vor der Hitze und zur Zuflucht und zum Schirm vor Ungewitter und Regen.   
ISA 5:1	<p-n>@Jesaja  5:1</p-n>	Ich will doch singen von meinem Geliebten, ein Lied meines Freundes von seinem Weinberg! Mein Geliebter hatte einen Weinberg auf dem Ausläufer eines Ölbergs.  
ISA 5:2	<p-n>@Jesaja  5:2</p-n>	Den grub er um und säuberte ihn von Steinen und bepflanzte ihn mit edlen Reben. Mitten darin baute er einen Turm und hieb auch eine Kelter darin aus; und er hoffte, daß er Trauben brächte; aber er trug Herlinge.  
ISA 5:3	<p-n>@Jesaja  5:3</p-n>	Nun, ihr Bürger zu Jerusalem und ihr Männer von Juda, sprecht Recht zwischen mir und meinem Weinberg!  
ISA 5:4	<p-n>@Jesaja  5:4</p-n>	Was konnte man an meinem Weinberg noch weiter tun, das ich nicht getan habe? Warum hat er denn Herlinge getragen? Und ich habe doch Trauben von ihm erwartet!  
ISA 5:5	<p-n>@Jesaja  5:5</p-n>	Nun will ich euch aber anzeigen, was ich mit meinem Weinberg tun will: Ich will die Hecke wegschaffen, daß er abgeweidet, und die Mauer einreißen, daß er zertreten werde!  
ISA 5:6	<p-n>@Jesaja  5:6</p-n>	Ich will ihm den Garaus machen, daß er weder beschnitten noch gehackt werden soll, und es sollen Dornen und Disteln darauf wachsen. Ich will auch den Wolken verbieten, auf ihn zu regnen.  
ISA 5:7	<p-n>@Jesaja  5:7</p-n>	Das Haus Israel nämlich ist der Weinberg des HERRN der Heerscharen, und die Männer von Juda sind seine Lieblingspflanzung. Er wartete auf Gerechtigkeit, und siehe da, (Schlechtigkeit; auf Güte und Erbarmen, und siehe da), Geschrei der Armen!  
ISA 5:8	<p-n>@Jesaja  5:8</p-n>	Wehe euch, die ihr ein Haus ans andere reihet, einen Acker zum andern schlaget, bis kein Platz mehr bleibt und ihr allein im Lande wohnet!  
ISA 5:9	<p-n>@Jesaja  5:9</p-n>	Vor meinen Ohren spricht der HERR der Heerscharen: Fürwahr, viele Häuser sollen öde werden, große und schöne unbewohnt!  
ISA 5:10	<p-n>@Jesaja  5:10</p-n>	Denn zehn Juchart Reben werden nur ein Bat geben und ein Chomer Samen nur ein Epha erzielen.  
ISA 5:11	<p-n>@Jesaja  5:11</p-n>	Wehe denen, die des Morgens schon berauschenden Getränken nachgehen und des Abends lange aufbleiben, daß sie der Wein erhitzt.  
ISA 5:12	<p-n>@Jesaja  5:12</p-n>	An Harfe und Leier, Pauke, Flöte und Wein ergötzen sie sich, aber das Tun des HERRN betrachten sie nicht, und das Werk seiner Hände sehen sie nicht!  
ISA 5:13	<p-n>@Jesaja  5:13</p-n>	Darum wandert mein Volk unversehens in die Gefangenschaft; seine Edlen sterben vor Hunger, und seine Volksmenge verschmachtet vor Durst.  
ISA 5:14	<p-n>@Jesaja  5:14</p-n>	Darum verlangt auch das Totenreich große Opfer und hat seinen Rachen über die Maßen weit aufgesperrt, und es fährt hinunter ihr Adel und ihre Menge samt all ihrem Getümmel und wer in ihr frohlockt!  
ISA 5:15	<p-n>@Jesaja  5:15</p-n>	Also wird der Mensch gebeugt und der Mann gedemütigt, und die Augen der Hochmütigen sollen erniedrigt werden;  
ISA 5:16	<p-n>@Jesaja  5:16</p-n>	aber der HERR der Heerscharen wird erhaben werden durch das Gericht, und der heilige Gott wird sich als heilig erweisen durch Gerechtigkeit.  
ISA 5:17	<p-n>@Jesaja  5:17</p-n>	Und es werden Lämmer auf ihrer Trift weiden und Fremde die Trümmer der Reichen verzehren.  
ISA 5:18	<p-n>@Jesaja  5:18</p-n>	Wehe denen, welche ihre Schuld an Lügenstricken hinter sich herschleppen und Sünde an Wagenseilen!  
ISA 5:19	<p-n>@Jesaja  5:19</p-n>	Die da sagen: Er beschleunige doch und befördere sein Tun, daß wir es sehen; es komme doch und trete ein, was der Heilige Israels beschlossen hat, daß wir es merken!  
ISA 5:20	<p-n>@Jesaja  5:20</p-n>	Wehe denen, die Böses gut und Gutes böse nennen; die Finsternis für Licht und Licht für Finsternis erklären; die Bitteres süß und Süßes bitter nennen!  
ISA 5:21	<p-n>@Jesaja  5:21</p-n>	Wehe denen, die in ihren eigenen Augen weise sind und sich selbst verständig dünken!  
ISA 5:22	<p-n>@Jesaja  5:22</p-n>	Wehe denen, die Helden sind im Weintrinken und tapfer im Einschenken von berauschendem Getränk;  
