 *PART 2:*
NOUNS	IN CHITONGA CIBEELA 2:*
sikunku	a dense fog/mist, e.g. Sunu cifwumofwumo kwali sikunku. = This morning there was a mist. _Sikunku wakasinkide nyika yoonse._ = A dense fog blotted out the whole land. _sikunkwe._ Also sikunku.
sikunyanga	a robber, e.g. _Sikunyanga mali kumwana wakajatwa abasilikani._ = The one who robbed the child of money was arrested by the police. _Muntu ubba ngusikunyanga bamwi lubono_ = The one who steals deprives others of their property. _sikunyanzya._ Also sikunyanga.
sikupusya	a persevering person, e.g. Mulimo wakamana nkaambo wakabelekwa asikupusya. = The work was completed because it was done by a person with perseverance. Also sikanzumanana, sikantaya
sikusobana	a player, e.g. *Sikusobana* bbola umwi wakatyoka kuulu mubbola mu Nsondo. = A certain footballer broke his leg on Sunday while playing. Also musobani
sikusunkuta	a limping person, e.g. *Sikusunkuta* bakamutola kucibbadela cipati kutegwa akabambwe kuulu kulemene. = They took the limping person to the main hospital so that they could treat his lame leg. *Mutamusiyi alikke sikusunkuta, ulalela.* = Do not leave the lame person alone, she will be powerless.
sikusunza	a beggar, e.g. *Sikusunza* wamutola mulonga. = The river took the beggar away.
sikuswaya	a visitor, e.g. *Sikuswaya* wakaswaide kwesu naakeenda wakabbidilizya amutiba. = The visitor who visited my home stole a plate when she went away. *Sikuswaya* wandiletela bbekete lyamapopwe. = The visitor brought me a bucket of maize.
sikutabilila	a guard, pl. basikutabilila, e.g. *Sikutabilila* cintoolo bakamujaya masiku aajilo. = They killed the guard of the store last night. *Basikalumamba mbabasikutabilila cisi cesu.* = The soldiers are the guards of our country.
sikutamauka	one who denies faults committed, e.g. *Sikutamauka* bakamupa mulandu wakupa nombe yomwe nkaambo ncaakali kwaamba tiicakatandabete. = The one who denied the crime was told to pay a fine of one cow because what he said could not be verified. *Naazulwa mulandu, waile kuba sikutamauka.* = When the case was proved against her, she just denied it without credible defence.
sikutanta	a rider, e.g. *Sikutanta* bbiza walicisa naaloka kuzwa abbiza. = The rider hurt himself when he fell from the horse. *Sikutanta* misamu nguwandicelela matobo. = The one who climbs trees is the one who brought me the matobo fruit.
sikutapa-buluba	a female bee, pl. basikutapabuluba, e.g. Mubboombwe lyanzuki basikutapabuluba mbanji. = In a bee-hive there are many female bees.
sikutumwa	a servant or messenger, pl. basikutumwa, e.g. Mwami watuma *sikutumwa* kuya kwiita bantu bakwe. = The chief sent a messenger to call his people. *Bakwasi mbabasikutumwa adilwe.* = The in-laws are the ones who become the messengers at a funeral. Also mutumwa
sikutwela	a spy, pl. basikutwela, e.g. Cisi cesu cakatuma basikutwela bobilo mucisi cimbi muciimo cakuti mbaamaiyi. = Our country sent two spies to another country pretending that they were teachers.
sikutwi-kutwi	an insect found in the ears of animals (supposed to warn them of danger), e.g. Ndiza basikutwi-kutwi bakafwa matwi akwe ncaatamwvi kabotu. = Perhaps insects died in his ears that is why he does not hear well. *Sikutwi-kutwi* uladukunya mukutwi kwangu. = An insect is moving about inside my ear.
sikuula	a buyer, pl. basikuula, e.g. Ndijisi ngulube zinji, ndabula basikuula. = I have many pigs, I lack buyers.
sikuumuzya	a peace-maker, e.g. *Sikuumuzya* nkondo mumunzi wesu bakamuIwana basimunzi. = The villagers fought with the peace-maker in our village. *Kwabula sikuumuzya manjaka mumunzi omu.* = A peacemaker of conflicts is lacking in this village.
sikuunina	a deceiver, e.g. Kuli bana bakabbigwa asikuunina wakabapa cinkwa. = There are children who were stolen by a deceiver who gave them bread. Ndali kwiile kulindila muntu ani ngusikuunina. = I was just waiting for the man but he was a deceiver.
sikuupaupa	a hypocrite, e.g. *Sikuupaupa ameso ulayanda kwaamba cintu ncatakonzyi kucita walo.* = A hypocrite likes to talk about something which he himself also is unable to do.
sikuyanzyanya	a mediator, e.g. *Akati azisi zyobile zizwangana, bakabikka sikuyanzyanya.* They put one to mediate between the two quarreling countries. *Aawa kuyandika sikuyanzyanya musongo.* = Here there is need of a wise mediator. Also sikuyanzanya
sikuyumuna	a carrier, e.g. *Sikuyumuna mapayi angu wamuka kuboola.* = The one who carries my blankets is late in coming. *Cibbudu ciyandika sikuyumuna ulaa nguzu.* = This luggage needs a strong person to carry it.
sikuzelemba	a painter, e.g. *Sikuzelemba wakabamba kabotu nanda yangu.* = The painter has done a good job on my house. *Muntu wakazelemba cifwanikiso eci tali sikuzelemba mubotu.* = The one who painted this picture is not a good painter.
sikuziya	a grain-grinder, a miller, e.g. *Wamana kale sikuziya maila abacembele.* = The grinder of the old lady's millet is finished already. *Sikuziya waziya busu bunji kapati.* = The one who grinds ground a lot of meal.
sikuzyingula	one who polishes, e.g. *Sikuzyingula cibuye eci wakacizyingula kabotu.* = The one who polished this floor polished it well. Also sikusyingulula, sikusingulula
sikwaambilila	an advocate, e.g. *Sikwaambilila mizimo wafwuma kusika kukaanda kamizimo.* = The one who speaks to the spirits came to the spirit-house early in the morning. *Amutambe sikwaambilila uzyi mizimo yamwana.* = Invite the spirit-medium who knows the ance-
sikwaanga cifwuwa	the one who inherits the sprit of the dead person. Also sikulya muzimo.
sikwaazwa	a dead person, e.g. *Jolezya taakali kuyanda kukwata umbi mukaintu, naakaba mukasikwaazwa.* = Jolezya did not want to marry when he became a widower. *Kaindi lubono Iwasikwaazwa tiilwakali kusiigwa nkwaakafwida.* = In the past the wealth of a dead person was not left in the place where he died.
sikwame	the second dice thrown in divination, e.g. *Munanga taasonda nkaambo nkakata njiinga sikwame yakazimina jilo.* = The witchdoctor is not divining because the big dice called sikwame was lost yesterday.
sikwaze	a type of bird, the fish-eagle, e.g. *Sikwaze ulya nswi mumulonga.* = The fish eagle is eating fish in the river.
sikweembela	a herder, pl. *basikweembela*, e.g. *Sikweembela mbelele walumwa munyama musyokwe.* = The shepherd has been attacked by an animal in the bush. *Amubaite basikweembela, yaboola mvwula.* = Call the herders, the rain is coming. Also *mweembezi*
sikweena	a trickster, e.g. *Wasika kale sikweena bantu mumunzi.* = A deceiver has already entered the village. *Ooyo ngusikweena buyo taambi zyamasimpe.* = That one is just a trickster, he does not speak the truth.
sikwiingaila	a homeless person, a refugee, e.g. *Chiinga nibakamutanda mucisi, wakaba sikwiingaila.* = When they drove Chiinga out of the country, he became homeless.
sikwiiya	a student, a disciple, pl. *basikwiiya*, e.g. *Basikwiiya acikolo eci mbalondo.* = The students of this college are neat.
silandwa	an irresponsible person, e.g. *Silandwa wakafwidwa nombe zinji.* = The silambwi an oily insect, unstainable by mud, e.g. Musamu ngwaakalide wakali mukali nkaambo wakasanganizidwe mafwuta asilambwi. The charm he had was very powerful because it was mixed with the oil of an insect. Also silambwi-dobe, silambwi-budobwi.
silili	the small grey mongoose, e.g. Silili waluma kana kankuku. = The mongoose has eaten a chick.
silimini-makoko	one who shifts residence frequently, e.g. Muntu upola-pola ngusiliminimakoko. A person who moves about is called 'siliminimakoko.' Uuno mwaka inzala iyakumujaya Mweene siliminimakoko nkaambo taakalima akasyoonto pe. Mweene, who frequently changes residence, will die of hunger because he did not plough even a bit.
silinde	type of edible insect, e.g. Insima bakasunsya silinde abacimvwinye. = They ate nsima with silinde and grubs as relish.
siliganga	a hornet, e.g. Sikulida buci walumwa siliganga mumpako yamusamu. = The forager of honey was stung by a hornet in the hole of a tree.
silubaba	a person crying aloud, e.g. Mwamumvwa silubaba nkwalila baacisya-nyina. You have heard how the person cries aloud for his/her uncle.
silubabali	a bird, the crowned-hornbill, e.g. Ijilo twakajaya basilubabali bobilo. = Yesterday we killed two crowned-horn-bills.
silubanje	a dagga-smoker, pl. basilubanje, e.g. Bamwi basilubanje balasondoka nkaambo kakwiindilizya kulufweba. Some dagga-smokers go mad because they smoke it too much. Silubanje ubeleka mbuli sincinko. = A dagga-smoker works like a mad person.
silubilo	a swift person, e.g. Silubilo bamupa cipego citaanzi nkaambo nguwabasiya beenzinyina boonse. = They gave the swift runner the first prize because he outstripped all his friends. Kamusala basilubilo bakatande bananja mucibanda. = Choose swift runners so that they can go and chase the lechwe-cobs on the plain.
silubinda	a brave person, e.g. Silubinda bamubambila pobwe nkaambo wakajaya syuumbwa alikke. = They made a feast for the brave man because he killed a lion single-handed. Wakatumwa silubinda ku-kusosya nombe kuli baumpe. = They sent a brave man to protect the cattle from the wild dogs. Also sibinda, sicamba
silubomba	a compassionate person, e.g. Mwami wesu ngusilubomba. = Our chief is a kind person. Bantu bayanda muntu silubomba kwaaba cakulya. = People like a compassionate person to share the food.
silucengo	a deceiver, e.g. Bazyali bakali kuyeeya kuti bamaiyi mbaasilucengo. The parents thought that the teachers were the deceivers.
siluceya	a bruttish person, e.g. Bana balamuyoowa muntu siluceya. = Children fear a bruttish person.
silufwukwe	a mole-like rodent, pl. basilufwukwe, e.g. Mumuunda omu kuli basilufwukwe banji. In this field there are many moles. Silufwukwe taligwi pe. = A mole is inedible.
silukobo	a type of bird, the cattle-egret, e.g. Silukobo walikulya nzengene arjombe. The egret was eating ticks on the cattle.
silukomo	a dominating person, e.g. Mbwaasikila silukomo, waima kumpela mumulongo wakuula busu. As soon as the domineering person arrived s/he stood in front of the queue for buying meal. Silukomo upenzya bana musyokwe. = The bully is troubling the children in the bush.
silukwata-kwata	a husband who marries frequently, e.g. *Chintu, silukwata-kwata, wakamuleka kale mukaintu wakwe.* = Chintu, who is fond of frequent marriages, has already left his wife. *Silukwata-kwata ulaleka bakaintu banji.* = A husband who marries frequently leaves many wives.
silulaka	a person fond of talking, e.g. *Kavwili wakali similimo alimwi taakali silulaka lutezemuka.* Kavwili was a hard worker and was not a careless talker.
silulimi	a gossiper, e.g. *Munzi waka-mwaika akaambo kasilulimi wakasika.* = The village was scattered because of a gossiper who arrived.
silumamba	a soldier, warrior, pl. *basilumamba*, e.g. *Basilumamba baunka kale kukulwana.* = The soldiers have already gone to fight. *Silumamba umwi wakajaigwa munkondo.* = One soldier was killed at war.
silumba	a gerbil (a burrowing mouse-like rodent found in arid regions), also *silubende, kakololo.*
silumbi	an ungrateful person, e.g. *Muntu oyu ngusilumbi nokuba kuti wa-pegwa cintu.* = This person is ungrateful even when he is given something. *Kuba silumbi inga bantu kabatakupi zintu.* = If you are ungrateful people will not give you anything.
silumfwukwe	a mole
silunimbaanimba	a type of bird, the bush-lourie, *Silunimbaanimba ulya tuuka mumabuwa.* = The bush-lourie eats insects in the open country. Also *simunimba-nimba.*
silunkulu	a person with shaven head, e.g. *Ooyu mwana ngusilunkulu nkaambo ulaa zicisa mumutwe.* = This child is shaven because of sores. *Silunkulu lyamubala zuba mumutwe.* = The sun shines on the head of one whose head is shaven.
siluno	a swift person, e.g. *Ooyu musankwa ngusiluno, wakasiya munyati musyokwe.* = This boy is a fast runner, he left a buffalo behind in the bush. *Musankwa wajata sulwe ngusiluno.* = The boy who has caught a hare is a fast runner.
silunya	an unmerciful person, .e.g. *Mwaide kuba basilunya, basilutuzi bansi-kwendaba.* = You have just become cruel people, unmerciful, and uncaring.
silunyansyo	A person filled with contempt, e.g. *Mapande wakali musankwa silunyansyo watakali kulemeka wisi.* = Mapande was a boy who was contemptuous, who did not respect his father.
silusalululo	one who favours some in preference to others, e.g. *Bamwi baleli babantu mbaasilusalululo.* = Some of the people's leaders are not impartial. *Mukaintu silusalululo taleli kabotu bana.* = A woman who favours unfairly does not look after children properly.
siluse	a merciful person, e.g. *Bazyali banji mbaasiluse kapati kubana babo.* = Many parents are kind to their children. *Bantu banji balamuyanda muntu siluse.* = Many people like a kind person.
siluseko	a person with inclination to laugh easily, pl. *basiluseko*, e.g. *Siluseko wiide kuseka kufwumbwa nocitasekeki.* = One who easily laughs just laughs at any thing even when it is not amusing. *Bantu basiluseko balila buya kuseka kwalo.* = People who are inclined to laugh shed tears as they are laughing.
silusesela	one who frequently demands repayment for what he lent, e.g. *Mudaala Haakoola ngusilusesela, bantu ncobatayandi kumukweletela.* = The old man Haakoola freqently demands payment, that is why people do not borrow from him. *Nseyandi kukweleta cintu kuli silusesela.* = I do not like to borrow anything from one who frequently demands repayment of debt.
silusozi	one who easily expels wind from the anus, e.g. *Ndime silusozi lu- netula nzuki mudola.* = I am a person who lets out stinking air which makes the bees in the hive loose consiousness.
silutuba	the white-tailed mongoose, e.g. *Babwa bajaya silutuba musyokwe.* = The dogs killed a white-tailed mongoose in the bush. *Silutuba wajaya nzoka mpati.* = The small mongoose kills a big snake.
silutuzi	a cruel person, e.g. *Ooyu mucembele ngusilutuzi aboobo boonse bazyukulu bakamumwaika.* = This old woman is cruel and so all her grand- children have moved away from her. Also silukomo
silutwe	leader, e.g. *Silutwe wamalende nguwakatamba bantu kuboola kukambila mvwula.* = The leader of the rainshrine is the one who invited the people to come to pray for rain.
siluubilila	a spider, e.g. *Mumona omu mumulundu awalo siluubilila mwaakali kukkala.* = Just in this hill is where also a spider was living.
siluubilili	a spider, e.g. *Siluubilili uli- yakide mutuswi twarŋanda.* = The spider builds in the little corners of the house. Also sicuubilili.
siluubuubu	a disrespectful person, e.g. *Mwana siluubuubu mmubi, talemeki bapati.* = A disrespectful child is bad, he does not honour the elders.
